Calendar Date,Magnitude
2024-02-17 18:29:57,3.5
2024-02-17 03:18:43,3.5
2024-02-16 02:54:57,4.14
2024-02-12 19:59:31,3.5
2024-02-09 16:30:00,4.0
2024-02-08 16:09:59,3.9
2024-02-07 19:59:31,3.9
2024-02-07 16:29:16,3.9
2024-02-06 03:38:52,3.6
2024-02-01 05:24:59,3.7
2024-01-31 11:08:59,3.7
2024-01-31 05:03:59,4.3
2024-01-30 03:09:00,4.0
2024-01-29 19:42:57,4.14
2024-01-29 11:01:00,3.8
2024-01-28 18:00:00,4.2
2024-01-28 04:31:00,3.7
2024-01-27 18:00:00,3.8
2024-01-26 11:12:00,3.7
2024-01-25 11:39:00,4.0
2024-01-24 11:48:59,3.8
2024-01-20 18:00:00,4.0
2024-01-20 04:18:02,3.9
2024-01-18 20:28:45,4.688
2024-01-18 20:28:10,4.011
2024-01-18 18:00:00,3.8
2024-01-17 00:18:43,3.5
2024-01-14 11:17:59,4.0
2024-01-12 05:15:56,3.8
2024-01-11 18:00:00,3.7
2024-01-10 20:24:00,3.60
2024-01-10 19:33:36,3.832
2024-01-10 19:33:01,3.410
2024-01-09 18:00:00,4.2
2024-01-08 18:00:00,4.0
2024-01-05 02:10:00,3.6
2024-01-04 04:06:57,3.9
2024-01-03 02:46:59,4.3
2024-01-02 22:47:15,4.234
2024-01-02 22:44:09,5.049
2024-01-02 05:21:59,4.0
2023-12-31 02:08:00,3.6
2023-12-30 19:28:59,3.7
2023-12-30 02:03:59,4.3
2023-12-30 00:11:50,4.092
2023-12-29 23:56:47,4.760
2023-12-29 23:46:12,3.321
2023-12-29 23:39:52,3.559
2023-12-29 11:17:00,4.0
2023-12-29 04:34:59,4.3
2023-12-25 03:40:00,3.7
2023-12-23 04:37:03,3.7
2023-12-22 18:56:00,4.0
2023-12-21 19:17:54,3.9
2023-12-20 01:00:59,3.6
2023-12-19 19:01:55,3.8
2023-12-19 18:22:01,3.9
2023-12-18 19:09:59,4.0
2023-12-17 19:22:56,4.2
2023-12-17 18:00:00,3.8
2023-12-17 17:55:40,4.3
2023-12-16 21:19:39,4.0
2023-12-16 19:16:53,3.7
2023-12-16 18:31:59,3.7
2023-12-16 03:05:02,3.4
2023-12-15 19:44:58,3.8
2023-12-15 01:45:00,3.8
2023-12-14 19:43:58,3.6
2023-12-13 19:56:55,4.0
2023-12-13 01:38:00,4.2
2023-12-11 20:52:56,3.60
2023-12-09 22:02:03,3.60
2023-12-09 11:53:59,3.6
2023-12-08 10:32:59,4.0
2023-12-08 02:01:49,4.183
2023-12-08 01:42:14,4.825
2023-12-08 01:19:31,3.317
2023-12-08 01:14:57,3.621
2023-12-07 21:24:02,4.08
2023-12-07 02:55:00,3.8
2023-12-06 18:47:57,4.0
2023-12-06 03:56:00,3.4
2023-12-06 02:28:00,4.4
2023-12-06 02:21:00,3.7
2023-12-05 19:56:03,3.87
2023-12-05 11:12:59,3.8
2023-12-05 03:47:00,3.8
2023-12-04 10:45:00,3.5
2023-12-03 19:09:59,3.9
2023-12-03 15:48:57,3.5
2023-12-03 03:54:00,4.0
2023-12-02 20:04:59,4.1
2023-12-02 20:00:57,4.1
2023-12-02 19:18:02,4.16
2023-12-02 13:29:00,3.9
2023-12-02 01:41:59,4.1
2023-12-01 19:18:54,4.2
2023-12-01 00:31:36,4.567
2023-12-01 00:23:02,3.107
2023-12-01 00:16:43,3.369
2023-12-01 00:07:02,3.958
2023-11-30 15:59:02,3.6
2023-11-30 02:17:57,4.0
2023-11-29 19:59:31,3.8
2023-11-29 04:21:04,3.4
2023-11-29 01:50:00,3.6
2023-11-28 17:49:55,3.4
2023-11-26 19:05:57,4.1
2023-11-26 01:45:00,4.1
2023-11-25 19:59:31,4.2
2023-11-25 19:02:55,3.8
2023-11-25 00:00:00,4.0
2023-11-24 19:59:31,4.0
2023-11-24 01:34:00,3.7
2023-11-23 18:52:59,3.7
2023-11-23 01:50:00,3.7
2023-11-22 18:48:57,3.9
2023-11-22 11:17:59,3.9
2023-11-22 01:43:00,4.3
2023-11-21 19:54:54,4.0
2023-11-21 02:57:59,4.1
2023-11-20 10:30:59,4.2
2023-11-20 02:30:00,3.8
2023-11-20 01:52:59,3.8
2023-11-19 18:49:58,3.8
2023-11-19 01:33:01,3.8
2023-11-19 00:38:44,3.635
2023-11-19 00:26:52,4.152
2023-11-19 00:19:51,2.920
2023-11-19 00:14:19,3.128
2023-11-18 19:15:53,3.6
2023-11-18 00:25:16,3.434
2023-11-18 00:16:35,3.867
2023-11-18 00:07:18,2.826
2023-11-17 23:42:32,2.975
2023-11-17 18:52:59,3.8
2023-11-17 11:35:59,3.9
2023-11-17 01:50:59,4.0
2023-11-16 18:48:57,4.0
2023-11-16 10:56:00,4.1
2023-11-16 03:13:00,3.9
2023-11-16 01:59:57,3.9
2023-11-16 00:50:21,4.137
2023-11-16 00:39:55,4.892
2023-11-16 00:33:02,3.286
2023-11-16 00:25:34,3.574
2023-11-15 20:19:59,4.0
2023-11-15 19:31:52,3.9
2023-11-15 01:47:00,4.0
2023-11-14 19:06:57,3.7
2023-11-14 04:00:59,3.8
2023-11-14 03:20:59,4.0
2023-11-14 01:49:00,4.0
2023-11-14 00:16:42,3.712
2023-11-13 23:55:48,4.372
2023-11-13 23:46:50,2.987
2023-11-13 23:34:41,3.197
2023-11-13 19:13:52,3.7
2023-11-13 18:08:38,3.4
2023-11-13 02:37:58,3.8
2023-11-13 02:10:59,3.7
2023-11-12 21:04:19,3.4
2023-11-12 21:04:00,3.5
2023-11-12 19:19:12,3.6
2023-11-12 19:03:56,3.5
2023-11-12 02:06:59,4.2
2023-11-11 21:22:53,4.0
2023-11-11 05:06:59,4.3
2023-11-11 02:14:00,4.1
2023-11-11 01:57:56,4.0
2023-11-10 18:57:01,4.2
2023-11-10 00:06:59,4.000
2023-11-09 23:58:25,4.721
2023-11-09 23:49:28,3.179
2023-11-09 23:44:55,3.405
2023-11-09 02:30:59,3.8
2023-11-08 03:47:59,3.8
2023-11-07 22:00:02,3.43
2023-11-07 18:59:54,3.6
2023-11-07 15:38:52,3.5
2023-11-07 02:46:00,3.8
2023-11-06 22:39:21,3.6
2023-11-06 21:38:52,3.7
2023-11-06 21:04:19,3.8
2023-11-06 19:22:56,4.0
2023-11-06 18:08:38,3.6
2023-11-06 02:15:56,4.4
2023-11-06 02:06:59,4.2
2023-11-05 19:09:59,4.2
2023-11-05 17:09:36,3.8
2023-11-05 11:41:00,4.0
2023-11-05 04:25:00,4.3
2023-11-05 00:14:21,4.054
2023-11-05 00:02:59,4.777
2023-11-04 23:55:53,3.195
2023-11-04 23:50:42,3.513
2023-11-04 11:32:00,4.0
2023-11-04 06:09:00,4.0
