Calendar Date,Magnitude
1998-12-25 22:53:45,4.0
1998-12-26 16:24:57,4.2
1998-12-27 02:52:48,4.2
1998-12-28 16:14:52,3.6
1998-12-29 01:40:48,3.7
1998-12-30 00:00:00,4.0
1998-12-31 02:29:45,4.0
1999-01-01 02:29:45,4.2
1999-01-02 03:21:36,4.0
1999-01-03 01:40:48,3.7
1999-01-04 18:19:52,3.98
1999-01-05 18:56:00,4.0
1999-01-06 01:23:31,4.2
1999-01-07 04:59:57,3.88
1999-01-08 01:55:12,3.7
1999-01-09 16:48:00,3.7
1999-01-10 17:04:59,4.0
1999-01-11 03:21:36,4.0
1999-01-12 04:37:55,4.1
1999-01-13 16:48:00,3.7
1999-01-14 16:48:00,3.8
1999-01-15 02:24:00,4.0
1999-01-16 01:55:12,3.9
1999-01-17 00:33:07,4.2
1999-01-18 16:48:00,4.2
1999-01-19 00:09:56,3.7
1999-01-20 00:12:57,3.8
1999-01-21 00:00:00,3.9
1999-01-22 02:09:36,4.2
1999-01-23 16:48:00,3.8
1999-01-24 00:00:00,3.76
1999-01-25 00:09:56,3.9
